landmark_id,category
38092,"http://commons.wikimedia.org/wiki/Category:Waalse_Kerk,_Amsterdam"
140925,http://commons.wikimedia.org/wiki/Category:Lekstraatsynagoge_(Amsterdam)
118813,http://commons.wikimedia.org/wiki/Category:Sint-Vincentiuskerk_(Amsterdam)
199957,http://commons.wikimedia.org/wiki/Category:Madame_Tussauds_Amsterdam
540,"http://commons.wikimedia.org/wiki/Category:Six_Collection,_Amsterdam"
36160,http://commons.wikimedia.org/wiki/Category:Onze-Lieve-Vrouwekerk_(Amsterdam)
164461,"http://commons.wikimedia.org/wiki/Category:Herengracht_502,_Amsterdam"
194303,"http://commons.wikimedia.org/wiki/Category:Herengracht_573,_Amsterdam"
79233,http://commons.wikimedia.org/wiki/Category:Hortus_Botanicus_Amsterdam
100245,http://commons.wikimedia.org/wiki/Category:Sint_Olofskapel_(Amsterdam)
61753,http://commons.wikimedia.org/wiki/Category:Stedelijk_Museum_Amsterdam
181349,"http://commons.wikimedia.org/wiki/Category:De_Rode_Hoed,_Amsterdam"
75684,http://commons.wikimedia.org/wiki/Category:Nationaal_Monument_(Amsterdam)
99505,http://commons.wikimedia.org/wiki/Category:Gerardus_Majellakerk_(Amsterdam)
57301,http://commons.wikimedia.org/wiki/Category:Diamant_Museum_in_Amsterdam
105339,"http://commons.wikimedia.org/wiki/Category:Molen_van_Sloten,_Amsterdam"
24563,http://commons.wikimedia.org/wiki/Category:Amsteltrein
125797,http://commons.wikimedia.org/wiki/Category:Oosterparkkerk
46523,http://commons.wikimedia.org/wiki/Category:Vestedatoren
143693,http://commons.wikimedia.org/wiki/Category:Westergasfabriek
59455,http://commons.wikimedia.org/wiki/Category:Westermoskee
10763,http://commons.wikimedia.org/wiki/Category:Mozes_en_A%C3%A4ronkerk_(Amsterdam)
105232,http://commons.wikimedia.org/wiki/Category:Lemstersluis
48709,"http://commons.wikimedia.org/wiki/Category:Rotterdam,_Breepleinkerk"
175609,"http://commons.wikimedia.org/wiki/Category:Huis_met_de_Hoofden,_Amsterdam"
19357,http://commons.wikimedia.org/wiki/Category:English_Reformed_Church_(Amsterdam)
26286,http://commons.wikimedia.org/wiki/Category:English_Episcopal_Church_(Amsterdam)
18771,"http://commons.wikimedia.org/wiki/Category:Huis_met_de_Kabouters,_Amsterdam"
40600,http://commons.wikimedia.org/wiki/Category:Martelaren_van_Gorcumkerk_(Amsterdam)
160971,http://commons.wikimedia.org/wiki/Category:Fort_Diemerdam
88579,"http://commons.wikimedia.org/wiki/Category:Rembrandtmonument,_Amsterdam"
26814,"http://commons.wikimedia.org/wiki/Category:Admiraal_de_Ruijterweg_148-152,_Amsterdam"
